portfolio,portfolio_name,portfolio_description,natural_natural,species_fr,species_other,timeliness_initiation,timeliness_benefits,cost_cost
p1,All Actions with Trap and Haul for All Tributaries ,"A comprehensive, high‑intervention portfolio that implements trap‑and‑haul approaches across all targeted tributaries while combining them with habitat, hatchery, and facilities improvements. This portfolio maximizes geographic redundancy and rapid reintroduction. ",1,1,1,2,2,7
p2,All Actions with Trap and Haul for McCloud River ,"Focuses on above‑Shasta recovery by prioritizing trap‑and‑haul exclusively for the McCloud River while retaining a broad suite of hatchery, habitat, and mainstem actions. Represents a more geographically focused version of Portfolio 1. ",1,1,1,2,2,7
p3,All Actions with Shasta Volitional Passage ,Centers on constructing volitional passage around Shasta Dam and fully enabling upstream migration. Other actions complement this new migratory pathway. Reflects the highest long‑term structural investment and emphasizes natural life‑cycle restoration. ,1,1,1,2,2,7
p4,Population Enhancement Below Shasta ,"Invests heavily in mainstem Sacramento River actions - habitat, temperature management, predation reduction, and rearing improvements - while deprioritizing above‑Shasta interventions. Aims to strengthen the existing population without major structural changes. ",1,1,1,2,2,7
p5,Battle Creek + Hatchery Actions ,"Pairs Battle Creek restoration, reintroduction actions, and Coleman/LSNFH upgrades. Maximizes production stability and spatial redundancy via Battle Creek while improving hatchery reliability and genetic management. ",2,1,1,2,2,6
p6,Mainstem + Hatchery Actions ,"Emphasizes actions in the mainstem Sacramento River and hatchery system without pursuing above‑Shasta reintroduction. A moderate‑cost, operations‑adjacent portfolio that addresses limiting factors downstream of Keswick. ",1,1,1,2,2,7
p7,Implementable Within 5 years ,"A near‑term portfolio composed only of actions that can be deployed within the next 5 years. Reduces reliance on long‑term infrastructure and focuses on feasibility, permitting readiness, and rapid biological benefit. ",1,1,1,2,2,7
p8,All Actions with estimated costs < $10M  ,"Low‑cost portfolio prioritizing financially accessible actions. Designed for implementability under constrained budgets while still supporting rearing, passage, and hatchery functions. ",2,1,1,2,2,4
p9,"Near term, low hanging fruit (NTLHF) ","Selects actions with high feasibility, low controversy, and quick implementation timelines. A pragmatic entry point for early SDM wins with clear biological upside and low risk. A “no-regrets” portfolio that emphasizes actions with lowest risk for future delays ",2,1,1,2,2,5
p10,Battle Creek Actions Only ,"Focuses exclusively on Battle Creek as a secondary population stronghold, leveraging existing infrastructure, restoration momentum, and cold‑water reliability. Enhances resilience through spatial structure. ",2,1,1,2,2,5
p11,NTLHF with Enhanced Habitat Access ,"Builds off the low‑hanging‑fruit portfolio but adds targeted access‑focused habitat actions (e.g., removing barriers, light reduction, small‑scale habitat enhancements) to compound early‑action gains. ",2,1,1,2,2,5
p12,Drought Mitigation ,"Targets actions that directly buffer WRCS during drought years, including captive rearing, cold‑water management, hatchery upgrades, and high‑impact survival interventions. Focuses on resilience to extreme hydrology. ",2,1,1,2,2,5
p13,Hatchery Influence and Production ,"Concentrates on hatchery modernization, broodstock management, genetic health, trap upgrades, and release strategies. Designed to stabilize production and reduce risk during low in river survival periods. ",2,2,2,2,2,5
p14,Habitat Enhancement and Restoration ,"A habitat‑focused portfolio spanning floodplains, in‑channel improvements, tributaries, and rearing habitat expansion. Minimizes structural actions and emphasizes ecological processes and habitat quantity/quality. ",1,1,1,2,2,7
